Cylinders,Displacement,Hp,Weight-,Acc+,Model,origin,Mpg+
8,304,193,4732,18.5,70,1,10
8,360,215,4615,14,70,1,10
8,307,200,4376,15,70,1,10
8,318,210,4382,13.5,70,1,10
8,429,208,4633,11,72,1,10
8,400,150,4997,14,73,1,10
8,400,167,4906,12.5,73,1,10
8,350,180,3664,11,73,1,10
8,383,180,4955,11.5,71,1,10
8,350,160,4456,13.5,72,1,10
4,97,88,2130,14.5,71,3,30
4,97,46,1950,21,73,2,30
4,97,52,2130,24.5,72,2,30
4,91,68,1985,21.5,71,3,30
4,90,75,2108,15.5,74,2,30
4,91,68,1970,17.5,71,3,30
4,86,65,2019,16,74,2,30
4,97,46,1835,20.5,70,2,30
4,96,69,2189,18,72,2,30
4,98,80,1915,14.5,71,1,30
6,250,105,3897,18.5,75,1,20
6,232,100,2789,15,73,1,20
6,225,95,3785,19,75,1,20
6,231,110,3907,21,75,1,20
6,250,98,3525,19,77,1,20
6,250,110,3645,16.2,76,1,20
6,225,95,3264,16,75,1,20
6,258,110,3730,19,75,1,20
6,225,100,3430,17.2,78,1,20
6,231,105,3425,16.9,77,1,20
